,Angels Stadium of Anaheim,Chase Field,SunTrust Park,Oriole Park at Camden Yards,Fenway Park,Wrigley Field,Guaranteed Rate Field,Great American Ball Park,Progressive Field,Coors Field,Comerica Park,Marlins Park,Minute Maid Park,Kauffman Stadium,Dodger Stadium,Miller Park,Target Field,Nationals Park,Citi Field,Yankee Stadium,OAC Coliseum,Citizens Bank Park,PNC Park,PETCO Park,ATT Park,Safeco Field,Busch Stadium,Tropicana Field,Globe Life Park in Arlington,Rogers Centre
Angels Stadium of Anaheim,,357,2173,2642,2987,2015,2014,2182,2341,1015,2276,2719,1534,1620,31,2049,1922,2664,2800,2791,394,2714,2425,95,409,1165,1825,2535,1405,2507
Chase Field,357,,1858,2326,2686,1812,1804,1867,2068,826,2033,2362,1177,1362,375,1885,1796,2349,2473,2470,736,2399,2110,356,751,1507,1510,2179,1048,2262
SunTrust Park,2173,1858,,676,1091,710,704,449,699,1392,711,675,800,783,2182,805,1102,639,893,891,2464,772,685,2145,2479,2686,543,491,802,940
Oriole Park at Camden Yards,2642,2326,676,,400,707,697,515,374,1670,526,1094,1445,1061,2659,794,1117,38,206,200,2817,100,247,2679,2815,2808,828,967,1379,466
Fenway Park,2987,2686,1091,400,,996,987,868,638,1978,705,1494,1843,1410,2996,1084,1406,439,204,204,3107,310,571,3056,3105,3097,1177,1368,1777,547
Wrigley Field,2015,1812,710,707,996,,10,298,352,1006,288,1378,1106,532,2023,91,405,706,810,802,2134,770,467,2083,2132,2097,302,1194,970,519
Guaranteed Rate Field,2014,1804,704,697,987,10,,289,342,1005,279,1369,1096,531,2022,98,412,697,801,792,2133,761,458,2083,2131,2104,296,1185,982,509
Great American Ball Park,2182,1867,449,515,868,298,289,,250,1193,263,1123,1125,584,2190,392,703,502,651,649,2384,577,289,2210,2382,2386,358,939,948,492
Progressive Field,2341,2068,699,374,638,352,342,250,,1332,168,1242,1374,791,2349,437,760,372,477,468,2460,436,134,2410,2458,2451,558,1115,1197,287
Coors Field,1015,826,1392,1670,1978,1006,1005,1193,1332,,1268,2064,1120,609,1020,1040,913,1657,1791,1783,1265,1732,1444,1080,1263,1331,850,1880,881,1498
Comerica Park,2276,2033,711,526,705,288,279,263,168,1268,,1395,1313,757,2285,384,695,524,628,619,2396,588,285,2345,2394,2387,524,1198,1199,230
Marlins Park,2719,2362,675,1094,1494,1378,1369,1123,1242,2064,1395,,1186,1457,2737,1479,1776,1057,1296,1290,3124,1190,1175,2658,3139,3360,1217,266,1362,1481
Minute Maid Park,1534,1177,800,1445,1843,1106,1096,1125,1374,1120,1313,1186,,797,1552,1192,1231,1413,1643,1641,1913,1545,1414,1472,1928,2443,851,1003,257,1543
Kauffman Stadium,1620,1362,783,1061,1410,532,531,584,791,609,757,1457,797,,1630,566,439,1049,1198,1196,1813,1124,835,1690,1811,1901,242,1272,559,987
Dodger Stadium,31,375,2182,2659,2996,2023,2022,2190,2349,1020,2285,2737,1552,1630,,2056,1930,2672,2807,2799,366,2721,2433,124,381,1136,1832,2553,1423,2514
Miller Park,2049,1885,805,794,1084,91,98,392,437,1040,384,1479,1192,566,2056,,334,791,895,886,2168,854,552,2117,2166,2025,377,1288,1045,603
Target Field,1922,1796,1102,1117,1406,405,412,703,760,913,695,1776,1231,439,1930,334,,1109,1213,1204,2041,1173,870,1991,2039,1658,562,1593,993,925
Nationals Park,2664,2349,639,38,439,706,697,502,372,1657,524,1057,1413,1049,2672,791,1109,,240,235,2816,134,246,2694,2814,2806,826,930,1347,492
Citi Field,2800,2473,893,206,204,810,801,651,477,1791,628,1296,1643,1198,2807,895,1213,240,,9,2920,109,381,2869,2918,2911,962,1167,1574,492
Yankee Stadium,2791,2470,891,200,204,802,792,649,468,1783,619,1290,1641,1196,2799,886,1204,235,9,,2912,108,376,2861,2910,2902,963,1166,1575,483
OAC Coliseum,394,736,2464,2817,3107,2134,2133,2384,2460,1265,2396,3124,1913,1813,366,2168,2041,2816,2920,2912,,2883,2581,487,17,810,2056,2938,1722,2631
Citizens Bank Park,2714,2399,772,100,310,770,761,577,436,1732,588,1190,1545,1124,2721,854,1173,134,109,108,2883,,310,2742,2878,2871,890,1064,1478,484
PNC Park,2425,2110,685,247,571,467,458,289,134,1444,285,1175,1414,835,2433,552,870,246,381,376,2581,310,,2454,2575,2568,602,1049,1237,312
PETCO Park,95,356,2145,2679,3056,2083,2083,2210,2410,1080,2345,2658,1472,1690,124,2117,1991,2694,2869,2861,487,2742,2454,,501,1257,1852,2473,1343,2575
ATT Park,409,751,2479,2815,3105,2132,2131,2382,2458,1263,2394,3139,1928,1811,381,2166,2039,2814,2918,2910,17,2878,2575,501,,807,2054,2954,1737,2628
Safeco Field,1165,1507,2686,2808,3097,2097,2104,2386,2451,1331,2387,3360,2443,1901,1136,2025,1658,2806,2911,2902,810,2871,2568,1257,807,,2119,3149,2205,2616
Busch Stadium,1825,1510,543,828,1177,302,296,358,558,850,524,1217,851,242,1832,377,562,826,962,963,2056,890,602,1852,2054,2119,,1032,668,754
Tropicana Field,2535,2179,491,967,1368,1194,1185,939,1115,1880,1198,266,1003,1272,2553,1288,1593,930,1167,1166,2938,1064,1049,2473,2954,3149,1032,,1180,1355
Globe Life Park in Arlington,1405,1048,802,1379,1777,970,982,948,1197,881,1199,1362,257,559,1423,1045,993,1347,1574,1575,1722,1478,1237,1343,1737,2205,668,1180,,1428
Rogers Centre,2507,2262,940,466,547,519,509,492,287,1498,230,1481,1543,987,2514,603,925,492,492,483,2631,484,312,2575,2628,2616,754,1355,1428,
